ランディング ページ,セッション,新規セッション率,新規ユーザー,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
/andresortlife/2021/04/30/自宅にツバメが巣作りをしていたらどうしたらい/,64734,91.62%,59308,94.82%,1.06,22.78,0.00%,0,0.00
/lp/concept/,52218,73.94%,38609,72.49%,1.43,26.67,0.02%,10,0.00
/andresortlife/2020/05/07/誰でも簡単にできる！鳩のフンの掃除方法/,27556,87.71%,24170,93.75%,1.08,32.45,0.00%,0,0.00
/,24325,60.34%,14678,22.87%,4.84,193.17,1.19%,289,0.00
/lp/houses/902_0064_3_01/,21529,81.43%,17531,95.42%,1.06,12.51,0.28%,60,0.00
/andresortlife/2020/06/23/屋上や庭に屋根が欲しい！そんなときに活躍する/,13954,90.76%,12664,89.98%,1.15,33.94,0.00%,0,0.00
/andresortlife/2020/04/29/お家でバーベキュー。おいしい肉の秘訣は下ごし/,13117,89.40%,11726,94.98%,1.06,23.15,0.00%,0,0.00
/andresortlife/2020/06/11/屋上テラスで子どもとプール遊び！思い切り楽し/,11062,93.22%,10312,95.00%,1.07,20.78,0.00%,0,0.00
/andresortlife/2020/05/10/実はオーブン要らず！自宅アウトドアでパンを焼/,8735,90.35%,7892,94.69%,1.07,25.47,0.00%,0,0.00
/andresortlife/2021/02/13/自宅にサウナが欲しい！屋上テラスにサウナを作/,8063,92.70%,7474,94.21%,1.11,22.25,0.00%,0,0.00
/andresortlife/2020/06/01/屋上もインテリアにこだわりたい。屋外用ソファ/,6479,90.62%,5871,89.94%,1.21,34.52,0.00%,0,0.00
"/andresortlife/2020/08/31/台風シーズン前に知っておきたい、屋上テラスの/",5569,89.17%,4966,90.36%,1.18,35.69,0.00%,0,0.00
"/andresortlife/2020/09/12/ビニールプールの手入れから保管まで、プールを/",5545,93.47%,5183,96.36%,1.05,18.16,0.00%,0,0.00
/lp/concept/property.html,5497,39.02%,2145,55.85%,2.29,119.02,0.31%,17,0.00
/andresortlife/2020/05/20/綺麗な屋上に鳩のフン！鳩の被害に逢いにくくす/,5294,90.91%,4813,92.88%,1.09,23.98,0.00%,0,0.00
/bottraffic.live,5023,27.65%,1389,99.66%,1.00,0.00,0.00%,0,0.00
