日の指標,セッション
2021.1.23,2683
2021.1.24,3010
2021.1.25,2150
2021.1.26,2131
2021.1.27,1935
2021.1.28,2413
2021.1.29,2103
2021.1.30,2771
2021.1.31,2721
2021.2.1,7104
2021.2.2,1980
2021.2.3,1804
2021.2.4,1807
2021.2.5,1826
2021.2.6,1981
2021.2.7,2128
2021.2.8,1809
2021.2.9,1864
2021.2.10,1713
2021.2.11,1856
2021.2.12,1750
2021.2.13,1839
2021.2.14,2205
2021.2.15,1884
2021.2.16,1934
2021.2.17,1765
2021.2.18,1688
2021.2.19,1778
2021.2.20,2065
2021.2.21,2163
2021.2.22,1617
2021.2.23,1757
2021.2.24,1453
2021.2.25,2497
2021.2.26,2253
2021.2.27,2714
2021.2.28,3006
2021.3.1,1992
2021.3.2,2333
2021.3.3,1994
2021.3.4,2069
2021.3.5,1814
2021.3.6,1937
2021.3.7,2140
2021.3.8,2178
2021.3.9,2011
2021.3.10,1934
2021.3.11,2064
2021.3.12,2021
2021.3.13,2310
2021.3.14,2254
2021.3.15,2163
2021.3.16,2025
2021.3.17,1874
2021.3.18,1933
2021.3.19,1893
2021.3.20,2068
2021.3.21,2447
2021.3.22,2096
2021.3.23,2194
2021.3.24,1890
2021.3.25,1853
2021.3.26,1915
2021.3.27,1911
2021.3.28,2400
2021.3.29,2155
2021.3.30,2190
2021.3.31,1868
2021.4.1,1979
2021.4.2,2202
2021.4.3,2377
2021.4.4,2612
2021.4.5,2509
2021.4.6,2085
2021.4.7,2171
2021.4.8,2236
2021.4.9,2281
2021.4.10,2975
2021.4.11,3476
2021.4.12,2964
2021.4.13,2660
2021.4.14,2453
2021.4.15,2811
2021.4.16,2799
2021.4.17,3061
2021.4.18,3204
2021.4.19,3149
2021.4.20,2924
2021.4.21,3117
2021.4.22,3223
2021.4.23,3083
2021.4.24,3600
2021.4.25,4211
2021.4.26,3597
2021.4.27,3715
2021.4.28,3412
2021.4.29,4304
2021.4.30,3777
2021.5.1,4333
2021.5.2,4430
2021.5.3,4411
2021.5.4,4243
2021.5.5,3984
2021.5.6,2924
2021.5.7,2903
2021.5.8,3339
2021.5.9,3399
2021.5.10,3204
2021.5.11,3320
2021.5.12,3088
2021.5.13,3544
2021.5.14,3541
2021.5.15,3917
2021.5.16,4033
2021.5.17,4170
2021.5.18,3745
2021.5.19,3532
2021.5.20,3695
2021.5.21,3540
2021.5.22,4165
2021.5.23,5209
2021.5.24,4564
2021.5.25,4769
2021.5.26,3996
2021.5.27,3572
2021.5.28,4748
2021.5.29,4392
2021.5.30,5276
2021.5.31,3818
2021.6.1,4273
2021.6.2,4150
2021.6.3,3957
2021.6.4,3699
2021.6.5,4394
2021.6.6,4496
2021.6.7,4446
2021.6.8,4292
2021.6.9,4126
2021.6.10,3831
2021.6.11,3565
2021.6.12,3913
2021.6.13,4433
2021.6.14,4024
2021.6.15,3960
2021.6.16,3391
2021.6.17,3816
2021.6.18,3431
2021.6.19,3645
2021.6.20,4146
2021.6.21,3834
2021.6.22,3690
2021.6.23,3480
2021.6.24,3247
2021.6.25,3512
2021.6.26,3473
2021.6.27,3642
2021.6.28,3631
2021.6.29,3217
2021.6.30,3125
2021.7.1,2874
2021.7.2,2834
2021.7.3,3134
2021.7.4,3223
2021.7.5,3086
2021.7.6,3034
2021.7.7,2823
2021.7.8,2664
2021.7.9,2648
2021.7.10,3467
2021.7.11,3864
2021.7.12,3546
2021.7.13,3066
2021.7.14,3089
2021.7.15,3049
2021.7.16,3199
2021.7.17,4148
2021.7.18,4820
2021.7.19,4129
2021.7.20,3640
2021.7.21,4221
2021.7.22,4659
2021.7.23,4751
2021.7.24,4521
,556182
