日付,クリック数,表示回数,CTR,掲載順位
2021-07-23,2144,32654,6.57%,12.95
2021-07-22,2224,33378,6.66%,13.12
2021-07-21,2136,30214,7.07%,13.04
2021-07-20,1651,28005,5.90%,14.30
2021-07-19,1790,29174,6.14%,14.42
2021-07-18,2096,30003,6.99%,13.83
2021-07-17,2168,30204,7.18%,12.98
2021-07-16,1702,27506,6.19%,14.81
2021-07-15,1295,24717,5.24%,15.08
2021-07-14,1174,23913,4.91%,14.38
2021-07-13,1227,23624,5.19%,14.66
2021-07-12,1335,24884,5.36%,14.86
2021-07-11,1560,26106,5.98%,14.33
2021-07-10,1469,25100,5.85%,13.38
2021-07-09,1114,21354,5.22%,14.98
2021-07-08,1011,20049,5.04%,16.08
2021-07-07,974,20764,4.69%,17.20
2021-07-06,1094,23244,4.71%,18.76
2021-07-05,1262,23931,5.27%,17.35
2021-07-04,1251,24151,5.18%,18.50
2021-07-03,1269,22970,5.52%,18.84
2021-07-02,1136,20265,5.61%,15.43
2021-07-01,1006,18256,5.51%,16.70
2021-06-30,923,17062,5.41%,15.80
2021-06-29,1168,18263,6.40%,15.65
2021-06-28,1268,19729,6.43%,15.56
2021-06-27,1481,20123,7.36%,14.88
2021-06-26,1394,21240,6.56%,18.77
2021-06-25,1356,19359,7.00%,15.53
2021-06-24,1363,19609,6.95%,14.86
2021-06-23,1288,18677,6.90%,14.44
2021-06-22,1341,19213,6.98%,15.33
2021-06-21,1513,21501,7.04%,14.87
2021-06-20,1691,21461,7.88%,13.93
2021-06-19,1499,19614,7.64%,13.55
2021-06-18,1278,18115,7.05%,14.52
2021-06-17,1472,18963,7.76%,16.04
2021-06-16,1382,19393,7.13%,17.18
2021-06-15,1328,18997,6.99%,15.63
2021-06-14,1689,21470,7.87%,15.45
2021-06-13,1784,21122,8.45%,13.67
2021-06-12,1799,20835,8.63%,13.41
2021-06-11,1581,18965,8.34%,13.46
2021-06-10,1544,19992,7.72%,14.32
2021-06-09,1646,20010,8.23%,13.21
2021-06-08,1690,21332,7.92%,14.36
2021-06-07,1747,22431,7.79%,13.81
2021-06-06,1874,23625,7.93%,13.55
2021-06-05,1868,22836,8.18%,13.00
2021-06-04,1557,20561,7.57%,13.70
2021-06-03,1274,18452,6.90%,14.87
2021-06-02,1557,19252,8.09%,14.36
2021-06-01,1718,20649,8.32%,15.17
2021-05-31,1667,20238,8.24%,15.15
2021-05-30,1800,20979,8.58%,13.61
2021-05-29,1955,20498,9.54%,12.73
2021-05-28,1608,17812,9.03%,13.29
2021-05-27,1591,18122,8.78%,14.17
2021-05-26,1372,18925,7.25%,15.86
2021-05-25,1603,20586,7.79%,14.64
2021-05-24,1644,20863,7.88%,14.78
2021-05-23,1874,21119,8.87%,14.27
2021-05-22,1806,20148,8.96%,13.56
2021-05-21,1277,17617,7.25%,15.99
2021-05-20,1119,17501,6.39%,17.57
2021-05-19,1406,18781,7.49%,15.58
2021-05-18,1234,17785,6.94%,17.24
2021-05-17,1230,18827,6.53%,17.33
2021-05-16,1399,19867,7.04%,16.36
2021-05-15,1362,20195,6.74%,15.55
2021-05-14,1335,19394,6.88%,15.66
2021-05-13,1154,17828,6.47%,16.99
2021-05-12,995,16987,5.86%,17.54
2021-05-11,1083,17459,6.20%,17.52
2021-05-10,1130,19348,5.84%,17.83
2021-05-09,1101,18498,5.95%,17.23
2021-05-08,1076,17260,6.23%,17.06
2021-05-07,1033,15828,6.53%,17.45
2021-05-06,862,15013,5.74%,19.21
2021-05-05,1014,15654,6.48%,20.97
2021-05-04,1363,18498,7.37%,17.54
2021-05-03,1692,21502,7.87%,17.44
2021-05-02,1690,22048,7.67%,17.79
2021-05-01,1676,22797,7.35%,17.69
2021-04-30,1521,21628,7.03%,18.16
2021-04-29,1295,23793,5.44%,19.31
2021-04-28,1258,23030,5.46%,18.70
2021-04-27,1182,24003,4.92%,20.64
2021-04-26,1350,27192,4.96%,20.31
2021-04-25,1412,25938,5.44%,20.07
2021-04-24,1446,25109,5.76%,19.92
2021-04-23,1155,22858,5.05%,23.24
2021-04-22,971,19933,4.87%,20.70
2021-04-21,981,18679,5.25%,20.65
2021-04-20,963,18593,5.18%,22.52
2021-04-19,999,19277,5.18%,22.64
2021-04-18,1023,19730,5.18%,21.98
2021-04-17,930,19133,4.86%,21.26
2021-04-16,819,17216,4.76%,23.60
2021-04-15,749,17479,4.29%,25.52
2021-04-14,783,16769,4.67%,24.11
2021-04-13,695,17075,4.07%,25.27
2021-04-12,823,17311,4.75%,23.70
2021-04-11,918,17061,5.38%,22.66
2021-04-10,967,17580,5.50%,21.77
2021-04-09,823,16794,4.90%,23.58
2021-04-08,698,16866,4.14%,25.38
2021-04-07,677,15944,4.25%,25.82
2021-04-06,673,17287,3.89%,26.81
2021-04-05,665,17007,3.91%,25.11
2021-04-04,865,17100,5.06%,22.92
2021-04-03,857,16317,5.25%,21.86
2021-04-02,762,15100,5.05%,22.77
2021-04-01,681,15225,4.47%,24.79
2021-03-31,627,14602,4.29%,25.17
2021-03-30,681,15621,4.36%,25.06
2021-03-29,730,16117,4.53%,24.85
2021-03-28,795,16137,4.93%,23.68
2021-03-27,772,14755,5.23%,22.91
2021-03-26,715,13912,5.14%,24.32
2021-03-25,631,14081,4.48%,23.87
2021-03-24,618,14010,4.41%,23.70
2021-03-23,607,14840,4.09%,24.69
2021-03-22,611,15045,4.06%,25.11
2021-03-21,735,15321,4.80%,23.69
2021-03-20,747,15323,4.88%,24.09
2021-03-19,562,15083,3.73%,28.81
2021-03-18,602,15005,4.01%,26.80
2021-03-17,566,14231,3.98%,24.46
2021-03-16,617,15416,4.00%,26.56
2021-03-15,645,17659,3.65%,30.16
2021-03-14,724,14818,4.89%,24.16
2021-03-13,759,15328,4.95%,22.40
2021-03-12,640,14334,4.46%,24.52
2021-03-11,614,13859,4.43%,25.15
2021-03-10,609,14078,4.33%,24.97
2021-03-09,613,15160,4.04%,25.46
2021-03-08,637,15372,4.14%,25.93
2021-03-07,716,18086,3.96%,30.56
2021-03-06,683,17315,3.94%,27.03
2021-03-05,619,16084,3.85%,25.68
2021-03-04,602,15992,3.76%,25.77
2021-03-03,649,15255,4.25%,24.94
2021-03-02,597,15973,3.74%,24.89
2021-03-01,630,16382,3.85%,25.32
2021-02-28,710,17733,4.00%,28.82
2021-02-27,737,16753,4.40%,26.77
2021-02-26,640,14629,4.37%,24.40
2021-02-25,607,14947,4.06%,25.30
2021-02-24,676,16261,4.16%,28.51
2021-02-23,704,16312,4.32%,23.94
2021-02-22,804,17282,4.65%,24.40
2021-02-21,844,17269,4.89%,24.49
2021-02-20,857,16017,5.35%,22.57
2021-02-19,719,14970,4.80%,23.30
2021-02-18,593,14855,3.99%,24.83
2021-02-17,559,14571,3.84%,23.96
2021-02-16,647,15253,4.24%,24.41
2021-02-15,708,18483,3.83%,24.45
2021-02-14,770,18034,4.27%,24.25
2021-02-13,779,17293,4.50%,25.06
2021-02-12,700,14646,4.78%,23.73
2021-02-11,641,14474,4.43%,23.65
2021-02-10,663,13937,4.76%,23.73
2021-02-09,608,14957,4.06%,25.44
2021-02-08,657,15863,4.14%,25.29
2021-02-07,684,15708,4.35%,24.77
2021-02-06,740,14874,4.98%,23.56
2021-02-05,602,13992,4.30%,23.00
2021-02-04,621,14967,4.15%,24.73
2021-02-03,539,14901,3.62%,24.98
2021-02-02,573,14809,3.87%,25.77
2021-02-01,591,15297,3.86%,25.21
2021-01-31,675,15727,4.29%,24.45
2021-01-30,676,17149,3.94%,26.17
2021-01-29,608,15393,3.95%,24.97
2021-01-28,593,15557,3.81%,25.35
2021-01-27,587,15405,3.81%,24.80
2021-01-26,559,15657,3.57%,25.67
2021-01-25,594,15818,3.76%,24.96
2021-01-24,671,15452,4.34%,23.89
