No.,検索クエリ, 表示回数 , クリック数▼ , CTR , 掲載順位 
1,アイムユニバース,2207,737,33.39%,1
2,アイムユニバース 篠原,250,199,79.60%,1
3,バシレイオン,624,175,28.04%,1
4,鳥のフン 掃除,983,175,17.80%,1
5,鳩のフン 掃除,673,150,22.29%,1
6,アイムユニバース 沖縄,232,128,55.17%,1
7,キャンプ パン焼き,579,122,21.07%,3
8,バーベキュー 肉 仕込み,262,118,45.04%,1
9,株式会社アイム・ユニバース,123,71,57.72%,1
10,鳩のフン 掃除 洗剤,141,69,48.94%,1
11,アイムユニバース 建売 評判,337,65,19.29%,1
12,屋上 タープ,186,62,33.33%,1
13,アイム・ユニバース,179,59,32.96%,1
14,鳩のフン,797,56,7.03%,2
15,ベランダ 鳥のふん 掃除,264,56,21.21%,1
16,バシレイオン 評判,151,55,36.42%,1
17,屋上 キャンプ,155,54,34.84%,1
18,キャンプ パン,959,52,5.42%,7
19,bbq 肉 仕込み,140,51,36.43%,1
20,ベランダ 鳩のフン,94,47,50%,1
21,鳩 フン 掃除,129,44,34.11%,1
22,ベランダ サウナ,124,44,35.48%,2
23,屋上菜園,312,41,13.14%,1
24,屋上 焚き火,71,41,57.75%,1
25,屋上キャンプ,127,40,31.50%,1
26,スキレット パン,378,36,9.52%,7
27,株式会社アイムユニバース,55,35,63.64%,1
28,自転車 鳥のフン 掃除,36,33,91.67%,1
29,テントサウナ 自宅,317,30,9.46%,6
30,テントサウナ ベランダ,132,30,22.73%,3
31,ダッチオーブン パン 自宅,91,30,32.97%,3
32,エアリアルヨガ 効果,288,29,10.07%,1
33,キャンプ パン スキレット,103,29,28.16%,2
34,自宅にサウナを作る,122,29,23.77%,2
35,鳩 ベランダ 漂白剤,370,29,7.84%,5
36,アイムユニバース 評判,171,28,16.37%,2
37,鳥のフン 洗剤,48,26,54.17%,2
38,雨の日が楽しくなる方法,46,26,56.52%,1
39,センスのいい ディスプレイ,439,26,5.92%,6
40,ぐっすり眠れる部屋,180,25,13.89%,1
41,スキレット パン キャンプ,82,25,30.49%,1
42,aim universe,41,24,58.54%,1
43,自宅 露天風呂,97,24,24.74%,2
44,鳥フン 掃除,106,23,21.70%,1
45,庭 タープ 常設,159,23,14.47%,5
46,アイムユニバース建設,71,23,32.39%,1
47,鳩フン 掃除,90,23,25.56%,1
48,アイムユニバース 社長,113,23,20.35%,2
49,ルーフバルコニー 風対策,73,22,30.14%,3
50,鳥の糞 掃除,72,22,30.56%,1
51,屋上 バーベキュー 自宅,62,21,33.87%,3
52,屋上 テント 固定,56,21,37.50%,3
53,ベランピング ハンモック,42,20,47.62%,2
54,家 露天風呂 費用,55,20,36.36%,1
55,キャンプでパンを焼く,136,20,14.71%,3
56,屋上 バーベキュー,340,19,5.59%,6
57,ダッチオーブン パン ガスコンロ,152,19,12.50%,10
58,ガゼボ 台風,71,19,26.76%,2
59,露天風呂 自宅 費用,28,18,64.29%,1
60,ホームパーティー,947,18,1.90%,12
61,タープ コンクリート,112,18,16.07%,7
62,自宅 露天風呂 費用,50,18,36%,2
63,屋上 芝生,54,18,33.33%,2
64,鳥のフン 白い 掃除,35,18,51.43%,1
65,ルーフバルコニー 台風,29,18,62.07%,1
66,ベランダ 鳩のフン 掃除,36,17,47.22%,1
67,おうちキャンプ テント,91,17,18.68%,3
68,屋上バーベキュー 自宅,67,17,25.37%,3
69,バーベキュー ステーキ 下ごしらえ,31,17,54.84%,2
70,タープ 屋上,48,16,33.33%,1
71,屋上 diy,78,16,20.51%,2
72,アイムユニバース 値引き,59,16,27.12%,1
73,屋上 グランピング 自宅,42,16,38.10%,4
74,屋上で焚き火,25,16,64%,1
75,サウナ 作る,101,16,15.84%,3
76,鳥のふん 掃除,67,16,23.88%,1
77,屋上 掃除,22,16,72.73%,1
78,屋上菜園 初心者,25,15,60%,1
79,バーベキュー 鶏肉 下ごしらえ,50,15,30%,5
80,屋上 タープ 固定,26,15,57.69%,2
81,屋上 ジャグジー 費用,26,15,57.69%,1
82,ラヴィシア寄宮,16,15,93.75%,1
83,ハンモックヨガ 効果,94,15,15.96%,1
84,屋上 テント,72,14,19.44%,4
85,タープ 固定 方法 アスファルト,84,14,16.67%,4
86,屋上 家具 台風,19,14,73.68%,1
87,屋上 植物 おすすめ,28,14,50%,2
88,オンラインライブ 食べ物,44,14,31.82%,3
89,屋上 畑,32,14,43.75%,2
90,(株)アイム・ユニバース,21,14,66.67%,1
91,天体観測 楽しみ方,50,14,28%,4
92,タープ 風速,150,13,8.67%,4
93,ロータスグリル 室内,111,13,11.71%,8
94,ベランピング 一軒家,61,13,21.31%,8
95,屋上 芝生 diy,21,13,61.90%,1
96,屋上 サンルーム 違法,34,13,38.24%,1
97,スキレット パン 直火,71,13,18.31%,4
98,部屋キャンプ テント,27,13,48.15%,2
99,バーベキュー 下ごしらえ,67,13,19.40%,8
100,屋上 サンルーム,37,13,35.14%,1
